Country Name,Country Code,Series Name,Series Code,Version Name,Version Code,1960 [YR1960],1970 [YR1970]
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Algeria,DZA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,1789.84810494611,1953.70828634114
American Samoa,ASM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Andorra,AND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,35617.53592343
Angola,AGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Antigua and Barbuda,ATG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Argentina,ARG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,3698.15576959207,4655.91906962943
Armenia,ARM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Aruba,ABW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Australia,AUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,13479.859543484,18167.9155428643
Austria,AUT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,11253.2807186708,16780.2816634792
Azerbaijan,AZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
"Bahamas, The",BHS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,13380.8902027813,19011.5764010454
Bahrain,BHR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Bangladesh,BGD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,299.726685668005,328.388618854703
Barbados,BRB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Belarus,BLR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Belgium,BEL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,11304.7257880609,17257.0274796407
Belize,BLZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,971.442723775149,1210.82650258664
Benin,BEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,433.046873207288,484.426389606814
Bermuda,BMU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,24110.0321544658,36422.6532604847
Bhutan,BTN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Bolivia,BOL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,793.716965439588,847.285641564614
Bosnia and Herzegovina,BIH,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Botswana,BWA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,379.754767741231,654.9526613723
Brazil,BRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,1709.35420377984,2341.93871368026
British Virgin Islands,VGB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Brunei,BRN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Bulgaria,BGR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Burkina Faso,BFA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,189.882061605533,217.290434303849
Burundi,BDI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,147.006226186552,182.043371332651
Cambodia,KHM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Cameroon,CMR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,704.767659581743,683.505343118987
Canada,CAN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,13570.6964096711,18798.453982651
Cape Verde,CPV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Caribbean small states,CSS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,4497.87775164272
Cayman Islands,CYM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Central African Republic,CAF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,479.70023335858,477.434179635687
Chad,TCD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,550.239727298835,501.138501878255
Channel Islands,CHI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Chile,CHL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,2464.15155721617,2968.20165015426
China,CHN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,121.191584930721,144.503620249166
China and India,CNI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Colombia,COL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,1410.75164401431,1759.23176679483
Comoros,COM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Congo,COG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,956.970559939134,1090.09035580407
"Congo, Dem. Rep.",COD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,754.880030588275,775.150072311263
Costa Rica,CRI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,1843.77879542432,2392.77983807139
Cote d'Ivoire,CIV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,945.759160976868,1445.4997485673
Croatia,HRV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Cuba,CUB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,1938.27828198338
Curacao,CUW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Cyprus,CYP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Czech Republic,CZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Czechoslovakia,CSK,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Dem. People's Rep. Korea,PRK,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Denmark,DNK,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,17472.325786648,25145.4317132818
Djibouti,DJI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Dominica,DMA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Dominican Republic,DOM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,1092.20319110064,1400.63651830245
Ecuador,ECU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,1582.30884721112,1752.91450798275
Egypt,EGY,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,441.147012677009
El Salvador,SLV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,2196.80949568533
Equatorial Guinea,GNQ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Eritrea,ERI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Estonia,EST,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Ethiopia,ETH,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Euro area,EMU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,9388.71750504833,15214.5412991933
Faeroe Islands,FRO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Fiji,FJI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,1759.58111121831,2189.41237006766
Finland,FIN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,10478.6697239798,15787.4296453255
France,FRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,11239.2787881373,17381.3503353975
French Guiana,GUF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
French Polynesia,PYF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Gabon,GAB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,3044.16228339248,4999.5467261709
"Gambia, The",GMB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,378.415131863764
Georgia,GEO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,1752.9892453586
Germany,DEU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,17473.0396451367
Ghana,GHA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,481.61914896075,500.11480991128
Gibraltar,GIB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Greece,GRC,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,5520.08796538585,10904.15302045
Greenland,GRL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,14085.1538849517
Grenada,GRD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Guadeloupe,GLP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Guam,GUM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Guatemala,GTM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,1174.4422441405,1527.27410940771
Guinea,GIN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Guinea-Bissau,GNB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,397.240576681335
Guyana,GUY,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,764.196867255402,876.469197431729
Haiti,HTI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Honduras,HND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,813.40935226282,963.774261551638
"Hong Kong SAR, China",HKG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,5578.6427836427
Hungary,HUN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Iceland,ISL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,15753.5965529187,21274.7017924464
IDA only,IDX,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
India,IND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,228.304470153947,273.87972737977
Indonesia,IDN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,288.963669921559,330.277516700647
Iran,IRN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,1497.9302453035,3387.90511262525
Iraq,IRQ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,702.887213135924
Ireland,IRL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,12041.1443006818
Isle of Man,IMN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Israel,ISR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,5894.97539425245,9754.18625586376
Italy,ITA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,9326.65767599884,15155.8256266754
Jamaica,JAM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,3809.55638821145
Japan,JPN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,7079.42640455296,15161.77221591
Jordan,JOR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Kazakhstan,KAZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Kenya,KEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,322.102943121707,359.56845254492
Kiribati,KIR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,1633.13810226416
Korea,KOR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,1106.7577536991,1967.86847044297
Kosovo,XKX,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Kuwait,KWT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Kyrgyz Republic,KGZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Lao PDR,LAO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Latin America & Caribbean,LAC,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,1923.4535915482,2647.26560299426
Latvia,LVA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Lebanon,LBN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Lesotho,LSO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,197.376295318364,267.15875343278
